date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:44	349/349	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Mar%202024%2017:29:47%20GMT	https://spacecatch.io/robots.txt		(from )
10:29:44	73526/73526	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:47%20GMT	https://spacecatch.io/	C:/My%20Web%20Sites/spacecatch/spacecatch.io/index.html	(from )
10:29:45	152099/152099	---M--	200	added ('OK')	image/jpeg	etag:%2225223-6089ad9b3290d%22	https://spacecatch.io/img/preview-image.jpg	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/preview-image.jpg	(from https://spacecatch.io/)
10:29:45	152099/152099	---M--	200	added ('OK')	image/jpeg	etag:%2225223-6089ad9b3290d%22	https://spacecatch.io/img/preview-image.jpg?v=2	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/preview-image5e1f.jpg	(from https://spacecatch.io/)
10:29:45	266/266	---M-Z	200	added ('OK')	application/xml	etag:%2210a-5f524ad3a7e13-gzip%22	https://spacecatch.io/img/favicon/browserconfig.xml	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/browserconfig.xml	(from https://spacecatch.io/)
10:29:46	26617/26617	---M--	200	added ('OK')	image/png	etag:%2267f9-5f524ad388a10%22	https://spacecatch.io/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/apple-touch-icon.png	(from https://spacecatch.io/)
10:29:46	2622/2622	---M--	200	added ('OK')	image/png	etag:%22a3e-5f524ad3aacf3%22	https://spacecatch.io/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/favicon-32x32.png	(from https://spacecatch.io/)
10:29:46	1611/1611	---M--	200	added ('OK')	image/png	etag:%2264b-5f524ad30ba08%22	https://spacecatch.io/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/favicon-16x16.png	(from https://spacecatch.io/)
10:29:46	424/424	---M--	200	added ('OK')	text/html	etag:%221a8-5f524ad397471%22	https://spacecatch.io/img/favicon/site.webmanifest	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/site.html	(from https://spacecatch.io/)
10:29:47	3423/3423	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d5f-5f524ad30d948-gzip%22	https://spacecatch.io/img/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/safari-pinned-tab.svg	(from https://spacecatch.io/)
10:29:47	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-5f524ad320229%22	https://spacecatch.io/img/favicon/favicon.ico	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/favicon/favicon.ico	(from https://spacecatch.io/)
10:29:47	109343/109343	---M-Z	200	added ('OK')	text/css	etag:%221ab1f-6148e23b311fb-gzip%22	https://spacecatch.io/css/style.min.css?v=3.184	C:/My%20Web%20Sites/spacecatch/spacecatch.io/css/style.min519d.css	(from https://spacecatch.io/)
10:29:48	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/spacecatch/code.jquery.com/jquery-3.4.1.min.js	(from https://spacecatch.io/)
10:29:49	631/631	---M-Z	200	added ('OK')	application/javascript	etag:%22277-614458d20d308-gzip%22	https://spacecatch.io/js/countdown.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/countdownac12.js	(from https://spacecatch.io/)
10:29:49	832/832	---M-Z	200	added ('OK')	application/javascript	etag:%22340-6148e2ee13d4b-gzip%22	https://spacecatch.io/js/modal.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/modalac12.js	(from https://spacecatch.io/)
10:29:49	1189/1189	---M-Z	200	added ('OK')	application/javascript	etag:%224a5-6089aad07aa1b-gzip%22	https://spacecatch.io/js/characters.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/charactersac12.js	(from https://spacecatch.io/)
10:29:50	42864/42864	---M-Z	200	added ('OK')	application/javascript	etag:%22a770-5f524ad00c093-gzip%22	https://spacecatch.io/js/slick.min.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/slick.minac12.js	(from https://spacecatch.io/)
10:29:50	10662/10662	---M-Z	200	added ('OK')	application/javascript	etag:%2229a6-60bc19b0bdec0-gzip%22	https://spacecatch.io/js/slider.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/sliderac12.js	(from https://spacecatch.io/)
10:29:51	1444/1444	---M-Z	200	added ('OK')	application/javascript	etag:%225a4-6089aad2534bc-gzip%22	https://spacecatch.io/js/faq.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/faqac12.js	(from https://spacecatch.io/)
10:29:51	1309/1309	---M-Z	200	added ('OK')	application/javascript	etag:%2251d-5f5778c822162-gzip%22	https://spacecatch.io/js/menu.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/menuac12.js	(from https://spacecatch.io/)
10:29:51	4531/4531	---M-Z	200	added ('OK')	application/javascript	etag:%2211b3-61107aac2cf1c-gzip%22	https://spacecatch.io/js/send.js?v=2.63	C:/My%20Web%20Sites/spacecatch/spacecatch.io/js/sendac12.js	(from https://spacecatch.io/)
10:29:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2026%20Mar%202024%2017:29:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/spacecatch/www.googletagmanager.com/gtm.135445.delayed	(from https://spacecatch.io/)
10:29:53	17535/17535	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265fbd2ab-447f%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/spacecatch/www.smartsuppchat.com/loaderd41d.js	(from https://spacecatch.io/)
10:29:53	14492/14492	---M-Z	200	added ('OK')	image/svg+xml	etag:%22389c-6089ad9c5f5a2-gzip%22	https://spacecatch.io/img/logo.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/logocbd4.svg	(from https://spacecatch.io/)
10:29:53	183/183	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b7-6089ae0c1771d-gzip%22	https://spacecatch.io/img/icons/triangle.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/icons/trianglecbd4.svg	(from https://spacecatch.io/)
10:29:54	44419/44419	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:57%20GMT	https://spacecatch.io/team	C:/My%20Web%20Sites/spacecatch/spacecatch.io/team.html	(from https://spacecatch.io/)
10:29:54	18636/18636	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:57%20GMT	https://spacecatch.io/airdrop	C:/My%20Web%20Sites/spacecatch/spacecatch.io/airdrop.html	(from https://spacecatch.io/)
10:29:54	19771/19771	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:57%20GMT	https://spacecatch.io/press	C:/My%20Web%20Sites/spacecatch/spacecatch.io/press.html	(from https://spacecatch.io/)
10:29:55	17585/17585	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:57%20GMT	https://spacecatch.io/blog	C:/My%20Web%20Sites/spacecatch/spacecatch.io/blog.html	(from https://spacecatch.io/)
10:29:55	79431/79431	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:58%20GMT	https://spacecatch.io/videos	C:/My%20Web%20Sites/spacecatch/spacecatch.io/videos.html	(from https://spacecatch.io/)
10:29:55	33012/33012	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:58%20GMT	https://spacecatch.io/partners	C:/My%20Web%20Sites/spacecatch/spacecatch.io/partners.html	(from https://spacecatch.io/)
10:29:56	20020/20020	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:29:58%20GMT	https://spacecatch.io/contact	C:/My%20Web%20Sites/spacecatch/spacecatch.io/contact.html	(from https://spacecatch.io/)
10:29:56	163897/163897	---M--	200	added ('OK')	image/jpeg	etag:%2228039-60ae3bde48331%22	https://spacecatch.io/img/video-preview.jpg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/video-previewcbd4.jpg	(from https://spacecatch.io/)
10:29:57	3537/3537	---M-Z	200	added ('OK')	image/svg+xml	etag:%22dd1-60bc199e55ee1-gzip%22	https://spacecatch.io/img/icons/mute.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/icons/mutecbd4.svg	(from https://spacecatch.io/)
10:29:58	1329/1329	---M-Z	200	added ('OK')	image/svg+xml	etag:%22531-60bc199ff8e1d-gzip%22	https://spacecatch.io/img/icons/play.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/icons/playcbd4.svg	(from https://spacecatch.io/)
10:29:58	18380/18380	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2017:30:01%20GMT	https://spacecatch.io/try-the-game	C:/My%20Web%20Sites/spacecatch/spacecatch.io/try-the-game.html	(from https://spacecatch.io/)
10:29:59	12755/12755	---M-Z	200	added ('OK')	image/svg+xml	etag:%2231d3-6089ad9c3b37f-gzip%22	https://spacecatch.io/img/google-play.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/google-playcbd4.svg	(from https://spacecatch.io/)
10:29:59	18183/18183	---M-Z	200	added ('OK')	image/svg+xml	etag:%224707-6089ad9c355bf-gzip%22	https://spacecatch.io/img/app-store.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/app-storecbd4.svg	(from https://spacecatch.io/)
10:29:59	1532/1532	---M-Z	200	added ('OK')	image/svg+xml	etag:%225fc-6089ae0bfd13b-gzip%22	https://spacecatch.io/img/icons/telegram.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/icons/telegramcbd4.svg	(from https://spacecatch.io/)
10:30:00	2464/2464	---M-Z	200	added ('OK')	image/svg+xml	etag:%229a0-6089ae0c07d1c-gzip%22	https://spacecatch.io/img/icons/discord.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/icons/discordcbd4.svg	(from https://spacecatch.io/)
10:30:00	894/894	---M-Z	200	added ('OK')	image/svg+xml	etag:%2237e-6089ae0bd7f78-gzip%22	https://spacecatch.io/img/icons/twitter.svg?v=2.09	C:/My%20Web%20Sites/spacecatch/spacecatch.io/img/icons/twittercbd4.svg	(from https://spacecatch.io/)
